Restriction list
Note: Group entries are split in different rows.
Export date: 26-Mar-2025 20:14:16
Last updated 12-Nov-2024. Database contains 74 unique substances/entries.

"Substance Identifier"	""	
"Entry no."	""	



"Substance name"	"Description"	"EC No."	"CAS No."	"Entry no."	"Conditions"	"Appendices"	"Standards"	"History"	"Q&As"	"Remarks"	"First published"	
"Tribarium diarsenide"	""	"235-508-3"	"12255-50-4"	"19"	"https://echa.europa.eu/documents/10162/a798c758-371f-41e5-a38d-5f8dc9ba739d"	""	""	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1989.398.01.0019.01.ENG&toc=OJ:L:1989:398:TOC"">D 89/677/EEC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2003.004.01.0009.01.ENG&toc=OJ:L:2003:004:TOC"">D 2003/2/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2006.384.01.0094.01.ENG&toc=OJ:L:2006:384:TOC"">D 2006/139/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/660"">entry 660</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/661"">entry 661</a>"	""	"13-Jan-2016"	
"Tricalcium diarsenide"	""	"235-509-9"	"12255-53-7"	"19"	"https://echa.europa.eu/documents/10162/a798c758-371f-41e5-a38d-5f8dc9ba739d"	""	""	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1989.398.01.0019.01.ENG&toc=OJ:L:1989:398:TOC"">D 89/677/EEC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2003.004.01.0009.01.ENG&toc=OJ:L:2003:004:TOC"">D 2003/2/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2006.384.01.0094.01.ENG&toc=OJ:L:2006:384:TOC"">D 2006/139/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/660"">entry 660</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/661"">entry 661</a>"	""	"13-Jan-2016"	
"Germanium arsenide"	""	"235-547-6"	"12271-72-6"	"19"	"https://echa.europa.eu/documents/10162/a798c758-371f-41e5-a38d-5f8dc9ba739d"	""	""	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1989.398.01.0019.01.ENG&toc=OJ:L:1989:398:TOC"">D 89/677/EEC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2003.004.01.0009.01.ENG&toc=OJ:L:2003:004:TOC"">D 2003/2/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2006.384.01.0094.01.ENG&toc=OJ:L:2006:384:TOC"">D 2006/139/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/660"">entry 660</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/661"">entry 661</a>"	""	"13-Jan-2016"	
"Trisilver arsenide"	""	"235-652-7"	"12417-99-1"	"19"	"https://echa.europa.eu/documents/10162/a798c758-371f-41e5-a38d-5f8dc9ba739d"	""	""	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1989.398.01.0019.01.ENG&toc=OJ:L:1989:398:TOC"">D 89/677/EEC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2003.004.01.0009.01.ENG&toc=OJ:L:2003:004:TOC"">D 2003/2/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2006.384.01.0094.01.ENG&toc=OJ:L:2006:384:TOC"">D 2006/139/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/660"">entry 660</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/661"">entry 661</a>"	""	"13-Jan-2016"	
"Arsenic sulfide"	""	"235-720-6"	"12612-21-4"	"19"	"https://echa.europa.eu/documents/10162/a798c758-371f-41e5-a38d-5f8dc9ba739d"	""	""	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1989.398.01.0019.01.ENG&toc=OJ:L:1989:398:TOC"">D 89/677/EEC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2003.004.01.0009.01.ENG&toc=OJ:L:2003:004:TOC"">D 2003/2/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2006.384.01.0094.01.ENG&toc=OJ:L:2006:384:TOC"">D 2006/139/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/660"">entry 660</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/661"">entry 661</a>"	""	"13-Jan-2016"	
"Ammonium dihydrogenarsenate"	""	"236-667-1"	"13462-93-6"	"19"	"https://echa.europa.eu/documents/10162/a798c758-371f-41e5-a38d-5f8dc9ba739d"	""	""	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1989.398.01.0019.01.ENG&toc=OJ:L:1989:398:TOC"">D 89/677/EEC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2003.004.01.0009.01.ENG&toc=OJ:L:2003:004:TOC"">D 2003/2/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2006.384.01.0094.01.ENG&toc=OJ:L:2006:384:TOC"">D 2006/139/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/660"">entry 660</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/661"">entry 661</a>"	""	"13-Jan-2016"	
"Tribarium diarsenate"	""	"236-762-8"	"13477-04-8"	"19"	"https://echa.europa.eu/documents/10162/a798c758-371f-41e5-a38d-5f8dc9ba739d"	""	""	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1989.398.01.0019.01.ENG&toc=OJ:L:1989:398:TOC"">D 89/677/EEC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2003.004.01.0009.01.ENG&toc=OJ:L:2003:004:TOC"">D 2003/2/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2006.384.01.0094.01.ENG&toc=OJ:L:2006:384:TOC"">D 2006/139/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/660"">entry 660</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/661"">entry 661</a>"	""	"13-Jan-2016"	
"Trinickel bis(arsenate)"	""	"236-771-7"	"13477-70-8"	"19"	"https://echa.europa.eu/documents/10162/a798c758-371f-41e5-a38d-5f8dc9ba739d"	""	""	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1989.398.01.0019.01.ENG&toc=OJ:L:1989:398:TOC"">D 89/677/EEC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2003.004.01.0009.01.ENG&toc=OJ:L:2003:004:TOC"">D 2003/2/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2006.384.01.0094.01.ENG&toc=OJ:L:2006:384:TOC"">D 2006/139/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/660"">entry 660</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/661"">entry 661</a>"	""	"13-Jan-2016"	
"Trilithium arsenate"	""	"236-773-8"	"13478-14-3"	"19"	"https://echa.europa.eu/documents/10162/a798c758-371f-41e5-a38d-5f8dc9ba739d"	""	""	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1989.398.01.0019.01.ENG&toc=OJ:L:1989:398:TOC"">D 89/677/EEC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2003.004.01.0009.01.ENG&toc=OJ:L:2003:004:TOC"">D 2003/2/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2006.384.01.0094.01.ENG&toc=OJ:L:2006:384:TOC"">D 2006/139/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/660"">entry 660</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/661"">entry 661</a>"	""	"13-Jan-2016"	
"Trisilver arsenate"	""	"236-841-7"	"13510-44-6"	"19"	"https://echa.europa.eu/documents/10162/a798c758-371f-41e5-a38d-5f8dc9ba739d"	""	""	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1989.398.01.0019.01.ENG&toc=OJ:L:1989:398:TOC"">D 89/677/EEC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2003.004.01.0009.01.ENG&toc=OJ:L:2003:004:TOC"">D 2003/2/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2006.384.01.0094.01.ENG&toc=OJ:L:2006:384:TOC"">D 2006/139/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/660"">entry 660</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/661"">entry 661</a>"	""	"13-Jan-2016"	
"Potassium arsenite"	""	"236-680-2"	"13464-35-2"	"19"	"https://echa.europa.eu/documents/10162/a798c758-371f-41e5-a38d-5f8dc9ba739d"	""	""	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1989.398.01.0019.01.ENG&toc=OJ:L:1989:398:TOC"">D 89/677/EEC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2003.004.01.0009.01.ENG&toc=OJ:L:2003:004:TOC"">D 2003/2/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2006.384.01.0094.01.ENG&toc=OJ:L:2006:384:TOC"">D 2006/139/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/660"">entry 660</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/661"">entry 661</a>"	""	"13-Jan-2016"	
"Trisodium arsenite"	""	"236-681-8"	"13464-37-4"	"19"	"https://echa.europa.eu/documents/10162/a798c758-371f-41e5-a38d-5f8dc9ba739d"	""	""	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1989.398.01.0019.01.ENG&toc=OJ:L:1989:398:TOC"">D 89/677/EEC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2003.004.01.0009.01.ENG&toc=OJ:L:2003:004:TOC"">D 2003/2/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2006.384.01.0094.01.ENG&toc=OJ:L:2006:384:TOC"">D 2006/139/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/660"">entry 660</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/661"">entry 661</a>"	""	"13-Jan-2016"	
"Trisodium arsenate"	""	"236-682-3"	"13464-38-5"	"19"	"https://echa.europa.eu/documents/10162/a798c758-371f-41e5-a38d-5f8dc9ba739d"	""	""	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1989.398.01.0019.01.ENG&toc=OJ:L:1989:398:TOC"">D 89/677/EEC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2003.004.01.0009.01.ENG&toc=OJ:L:2003:004:TOC"">D 2003/2/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2006.384.01.0094.01.ENG&toc=OJ:L:2006:384:TOC"">D 2006/139/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/660"">entry 660</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/661"">entry 661</a>"	""	"13-Jan-2016"	
"Zinc arsenate"	""	"236-683-9"	"13464-44-3"	"19"	"https://echa.europa.eu/documents/10162/a798c758-371f-41e5-a38d-5f8dc9ba739d"	""	""	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1989.398.01.0019.01.ENG&toc=OJ:L:1989:398:TOC"">D 89/677/EEC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2003.004.01.0009.01.ENG&toc=OJ:L:2003:004:TOC"">D 2003/2/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2006.384.01.0094.01.ENG&toc=OJ:L:2006:384:TOC"">D 2006/139/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/660"">entry 660</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/661"">entry 661</a>"	""	"13-Jan-2016"	
"Tristrontium diarsenate"	""	"236-684-4"	"13464-68-1"	"19"	"https://echa.europa.eu/documents/10162/a798c758-371f-41e5-a38d-5f8dc9ba739d"	""	""	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1989.398.01.0019.01.ENG&toc=OJ:L:1989:398:TOC"">D 89/677/EEC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2003.004.01.0009.01.ENG&toc=OJ:L:2003:004:TOC"">D 2003/2/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2006.384.01.0094.01.ENG&toc=OJ:L:2006:384:TOC"">D 2006/139/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/660"">entry 660</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/661"">entry 661</a>"	""	"13-Jan-2016"	
"Antimony oxide (Sb2O3), mixed with arsenic oxide (As2O3)"	""	"273-156-2"	"68951-38-2"	"19"	"https://echa.europa.eu/documents/10162/a798c758-371f-41e5-a38d-5f8dc9ba739d"	""	""	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1989.398.01.0019.01.ENG&toc=OJ:L:1989:398:TOC"">D 89/677/EEC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2003.004.01.0009.01.ENG&toc=OJ:L:2003:004:TOC"">D 2003/2/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2006.384.01.0094.01.ENG&toc=OJ:L:2006:384:TOC"">D 2006/139/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/660"">entry 660</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/661"">entry 661</a>"	""	"13-Jan-2016"	
"Lead alloy, base, dross"	"A scum formed on the surface of molten lead-base alloys. Includes those cases in which aluminum is used to remove arsenic, nickel and antimony."	"273-700-9"	"69011-59-2"	"19"	"https://echa.europa.eu/documents/10162/a798c758-371f-41e5-a38d-5f8dc9ba739d"	""	""	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1989.398.01.0019.01.ENG&toc=OJ:L:1989:398:TOC"">D 89/677/EEC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2003.004.01.0009.01.ENG&toc=OJ:L:2003:004:TOC"">D 2003/2/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2006.384.01.0094.01.ENG&toc=OJ:L:2006:384:TOC"">D 2006/139/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/660"">entry 660</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/661"">entry 661</a>"	""	"13-Jan-2016"	
"Lead, antimonial, dross"	"A scum formed on the surface of antimonial lead. Consists primarily of sodium arsenate and sodium antimonate with some lead oxide and free caustic soda."	"273-795-7"	"69029-51-2"	"19"	"https://echa.europa.eu/documents/10162/a798c758-371f-41e5-a38d-5f8dc9ba739d"	""	""	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1989.398.01.0019.01.ENG&toc=OJ:L:1989:398:TOC"">D 89/677/EEC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2003.004.01.0009.01.ENG&toc=OJ:L:2003:004:TOC"">D 2003/2/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2006.384.01.0094.01.ENG&toc=OJ:L:2006:384:TOC"">D 2006/139/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/660"">entry 660</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/661"">entry 661</a>"	""	"13-Jan-2016"	
"Flue dust, lead-refining"	"By-product of refining lead ores obtained from baghouse and electro-static precipitator and as slurry from scrubbers."	"273-809-1"	"69029-67-0"	"19"	"https://echa.europa.eu/documents/10162/a798c758-371f-41e5-a38d-5f8dc9ba739d"	""	""	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1989.398.01.0019.01.ENG&toc=OJ:L:1989:398:TOC"">D 89/677/EEC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2003.004.01.0009.01.ENG&toc=OJ:L:2003:004:TOC"">D 2003/2/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2006.384.01.0094.01.ENG&toc=OJ:L:2006:384:TOC"">D 2006/139/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/660"">entry 660</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/661"">entry 661</a>"	""	"13-Jan-2016"	
"Tris[(8α)-6'-methoxycinchonan-9(R)-ol] arsenite"	""	"303-002-2"	"94138-87-1"	"19"	"https://echa.europa.eu/documents/10162/a798c758-371f-41e5-a38d-5f8dc9ba739d"	""	""	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1989.398.01.0019.01.ENG&toc=OJ:L:1989:398:TOC"">D 89/677/EEC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2003.004.01.0009.01.ENG&toc=OJ:L:2003:004:TOC"">D 2003/2/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2006.384.01.0094.01.ENG&toc=OJ:L:2006:384:TOC"">D 2006/139/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/660"">entry 660</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/661"">entry 661</a>"	""	"13-Jan-2016"	
"tris(trimethylsilyl)arsine"	""	"821-113-9"	"17729-30-5"	"19"	"https://echa.europa.eu/documents/10162/a798c758-371f-41e5-a38d-5f8dc9ba739d"	""	""	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1989.398.01.0019.01.ENG&toc=OJ:L:1989:398:TOC"">D 89/677/EEC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2003.004.01.0009.01.ENG&toc=OJ:L:2003:004:TOC"">D 2003/2/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2006.384.01.0094.01.ENG&toc=OJ:L:2006:384:TOC"">D 2006/139/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/660"">entry 660</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/661"">entry 661</a>"	""	"13-Jan-2016"	
"Arsenic acid (H3AsO4), copper(2+) salt (2:3), tetrahydrate"	""	"-"	"13478-34-7"	"19"	"https://echa.europa.eu/documents/10162/a798c758-371f-41e5-a38d-5f8dc9ba739d"	""	""	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1989.398.01.0019.01.ENG&toc=OJ:L:1989:398:TOC"">D 89/677/EEC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2003.004.01.0009.01.ENG&toc=OJ:L:2003:004:TOC"">D 2003/2/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2006.384.01.0094.01.ENG&toc=OJ:L:2006:384:TOC"">D 2006/139/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/660"">entry 660</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/661"">entry 661</a>"	""	"13-Jan-2016"	
"Arsenenic acid"	""	"-"	"10102-53-1"	"19"	"https://echa.europa.eu/documents/10162/a798c758-371f-41e5-a38d-5f8dc9ba739d"	""	""	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1989.398.01.0019.01.ENG&toc=OJ:L:1989:398:TOC"">D 89/677/EEC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2003.004.01.0009.01.ENG&toc=OJ:L:2003:004:TOC"">D 2003/2/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2006.384.01.0094.01.ENG&toc=OJ:L:2006:384:TOC"">D 2006/139/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/660"">entry 660</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/661"">entry 661</a>"	""	"13-Jan-2016"	
