Annex of co-formulants not accepted for inclusion in PPPs
Note: Group entries are split in different rows.
Export date: 26/03/2025 20:20:26
Header

"Substance Identifier"	""	



""	""	""	""	""	
"2-Methoxyethyl acetate"	"203-772-9"	"110-49-6"	"7"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"2-Methoxypropanol"	"216-455-5"	"1589-47-5"	"8"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"2-Nitropropane"	"201-209-1"	"79-46-9"	"10"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"20-(4-Nonylphenoxy)-3,6,9,12,15,18-hexaoxaicosan-1-ol"	"248-743-1"	"27942-27-4"	"72"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"20-[4-(1,1,3,3-Tetramethylbutyl)phenoxy]-3,6,9,12,15,18-hexaoxaicosan-1-ol"	"219-682-8"	"2497-59-8"	"116"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"26-(4-Nonylphenoxy)-3,6,9,12,15,18,21,24-octaoxahexacosan-1-ol"	"604-395-6"	"14409-72-4"	"74"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"3,6,9,12,15,18,21,24,27-Nonaoxanonacosan-1-ol, 29-[4-(1,1,3,3-tetramethylbutyl)phenoxy]-"	"-"	"2315-66-4"	"136"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"3,6,9,12,15,18,21,24-Octaoxahexacosan-1-ol, 26-(4-octylphenoxy)-"	"255-695-5"	"42173-90-0"	"119"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"3,6,9,12,15,18,21,24-Octaoxahexacosan-1-ol, 26-[4-(1,1,3,3-tetramethylbutyl)phenoxy]-"	"-"	"2315-65-3"	"135"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"3,6,9,12,15,18-Hexaoxaeicosan-1-ol, 20-(4-octylphenoxy)-"	"251-190-9"	"32742-88-4"	"125"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"3,6,9,12,15-Pentaoxaheptadecan-1-ol, 17-(4-octylphenoxy)-"	"-"	"51437-94-6"	"128"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"3,6,9,12,15-Pentaoxaheptadecan-1-ol, 17-[4-(1,1,3,3-tetramethylbutyl)phenoxy]-"	"-"	"2497-58-7"	"131"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"3,6,9,12-Tetraoxatetradecan-1-ol, 14-[4-(1,1,3,3-tetramethylbutyl)phenoxy]-"	"-"	"2315-64-2"	"134"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"4-(2-Methyloctan-2-yl)phenol"	"250-339-5"	"30784-30-6"	"58"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"4-(3,5-Dimethylheptan-3-yl)phenol"	"635-389-1"	"186825-36-5"	"56"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"4-(3,6-Dimethylheptan-3-yl)phenol"	"635-391-2"	"142731-63-3"	"57"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"4-(3-Methyloctan-3-yl)phenol"	"257-907-1"	"52427-13-1"	"59"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"4-Nonylphenol"	"203-199-4"	"104-40-5"	"60"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"4-Nonylphenol, 1-2,5 moles ethoxylated;Poly(oxy-1,2-ethanediyl), α-(4-nonylphenyl)-ω-hydroxy-"	"500-045-0"	"26027-38-3"	"69"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"4-Nonylphenol, 1-2,5 moles ethoxylated;Poly(oxy-1,2-ethanediyl), α-(4-nonylphenyl)-ω-hydroxy-"	"500-045-0"	"26027-38-3"	"77"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"4-Nonylphenol, branched, 1-2,5 moles ethoxylated;Poly(oxy-1,2-ethanediyl), α-(4-nonylphenyl)-ω-hydroxy-, branched"	"500-315-8"	"127087-87-0"	"6876"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"4-Nonylphenol, branched, 1-2,5 moles ethoxylated;Poly(oxy-1,2-ethanediyl), α-(4-nonylphenyl)-ω-hydroxy-, branched"	"500-315-8"	"127087-87-0"	"68"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"4-Octylphenol"	"217-302-5"	"1806-26-4"	"82"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"4-tert-Octylphenol"	"205-426-2"	"140-66-9"	"83"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Amines, tallow alkyl, ethoxylated"	"500-153-8"	"61791-26-2"	"11"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Amines, tallow alkyl, ethoxylated propoxylated"	"614-378-5"	"68213-26-3"	"12"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Asbestos, actinolite"	"616-471-6"	"77536-66-4"	"13"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Asbestos, amosite"	"601-801-3"	"12172-73-5"	"14"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Asbestos, anthophyllite"	"616-472-1"	"77536-67-5"	"15"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Benzene"	"200-753-7"	"71-43-2"	"19"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Benzo[pqr]tetraphene"	"200-028-5"	"50-32-8"	"20"	"2 The limit for the acceptable presence of this substance as unintentional impurity in the finished product is 0,01 % (weight by weight (w/w)), corresponding to the specific concentration limit set in Annex VI to Regulation (EC) No 1272/20083 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
