Chemical Name;CAS Number;Alternative Name
N-Ethyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-N-(2-hydroxyethyl)-1-octanesulfonamide, acrylate ester;423-82-5;
1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluoro-1-octanesulfonamide;754-91-6;
Glycine, N-ethyl-N-[(heptadecafluorooctyl)sulfonyl]-;2991-50-6;
1-Octanesulfonamide, N-ethyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-N-[2-(phosphonooxy)ethyl]-;3820-83-5;
1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluoro-N-(2-hydroxyethyl)-N-methyl-1-octanesulfonamide;24448-09-7;
2-Propenoic acid, 2-[[(heptadecafluorooctyl)sulfonyl]methylamino]ethyl ester;25268-77-3;
3-[[(Heptadecafluorooctyl)sulfonyl]amino]-N,N,N-trimethyl-1-propanaminium chloride;38006-74-5;
Heptadecafluoro-N-poly(oxy-1,2-ethanediyl)-N-propyl-1-octanesulfonamide;52550-45-5;
1-Octanesulfonamide, N-ethyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-N-[3-(trichlorosilyl)propyl]-;67939-42-8;
1-Octanesulfonamide, N-[3-(dimethylamino)propyl]-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-, monohydrochloride;67939-88-2;
1-Propanaminium, 3-[[(heptadecafluorooctyl)sulfonyl]amino]-N,N,N-trimethyl-, iodide, ammonium salt;68310-75-8;
2-Propenoic acid, butyl ester, polymer with 2-[(heptadecafluorooctyl)sulfonyl]methylamino]ethyl 2-propenoate, 2-[methyl[(nonafluorobutyl)sulfonyl]amino]ethyl 2-propenoate, 2-[methyl[(pentadecafluoroheptyl)sulfonyl]amino]ethyl 2-propenoate, 2-[methyl[(tridecafluorohexyl)sulfonyl]amino]ethyl 2-propenoate and 2-[methyl[(undecafluoropentyl)sulfonyl]amino]ethyl 2-propenoate;68555-90-8;
.my.-Hydroxibis(2-metylpropanol)diaqvatetraklor]n-etyl-N-(perfluoroktylsulfonyl)glycinato-01:O1']]krom;68891-96-3;
Poly(oxy-1,2-ethanediyl), α-[2-[ethyl[(heptadecafluorooctyl)sulfonyl]amino]ethyl]-ω-methoxy-;68958-61-2;
Ethanaminium, N,N,N-trimethyl-2-[(2-methyl-1-oxo-2-propenyl)oxy]-, chloride, polymer with 2-ethoxyethyl 2-propenoate, 2-[[(heptadecafluorooctyl)sulfonyl]methylamino]ethyl 2-propenoate and oxiranylmethyl 2-methyl-2-propenoate;92265-81-1;
Fatty acids, C18-unsatd., trimers, 2-[[(heptadecafluorooctyl)sulfonyl]methylamino]ethyl esters;148240-78-2;
Sulfonamides, C4-8-alkane, perfluoro, N-ethyl-N-(hydroxyethyl), reaction products with 2-ethyl-1-hexanol and polymethylenepolyphenylene isocyanate;160901-25-7;
Sulfonamide, C4-8-alkane, perfluoro, N-(hydroxyethyl)-N-methyl, reaction products with 12-hydroxystearic acid and 2,4-TDI, ammonium salts;306973-47-7;
Siloxanes and Silicones, di-Me, mono[3-[(2-methyl-1-oxo-2-propenyl)oxy]propylgroup]-terminated, polymers with 2-[methyl[(perfluoro-C4-8-alkyl)sulfonyl]amino]ethyl acrylate and stearyl methacrylate;306974-28-7;
2-Propenoic acid, 2-methyl-, dodecyl ester, polymers with N-(hydroxymethyl)-2-propenamide, 2-[methyl[(perfluoro-C4-8-alkyl)sulfonyl]amino]ethyl methacrylate, stearyl methacrylate and vinylidene chloride;306975-85-9;
2-Propenoic acid, 2-methyl-, 2-methylpropyl ester, polymer with 2,4-diisocyanato-1-methylbenzene, 2-ethyl-2-(hydroxymethyl)-1,3-propanediol and 2-propenoic acid, N-ethyl-N-(hydroxyethyl)perfluoro-C4-8-alkanesulfonamides-blocked;306976-55-6;
Diphenyl ether, octabromo derivative;32536-52-0;
3-[(Perfluorooctylsulfonyl)amino]-N,N,N-trimethyl-1-propanaminium iodide;1652-63-7;
N-Ethyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-N-(2-hydroxyethyl)-1-octanesulfonamide;1691-99-2;
Ethyl-N-ethyl-N-[(heptadecafluorooctyl)sulfonyl]glycinate;1869-77-8;
1-Octanesulfonamide, N,N',N''-[phosphinylidynetris(oxy-2,1-ethanediyl)]tris[N-ethyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluor;2250-98-8;
1-Octanesulfonamide, N-butyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-N-(2-hydroxyethyl)-;2263-09-4;
Poly(oxy-1,2-ethanediyl), α-[2-[ethyl[(heptadecafluorooctyl)sulfonyl]amino]ethyl]-ω-hydroxy-;29117-08-6;
Perfluorooctanesulfonic acid, lithium salt;29457-72-5;
1-Octansulfonamide, N-[3-(dimethyloxidoamino)propyl]-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-;30295-51-3;
1-Octanesulfonamide, N,N'-[phosphinicobis(oxy-2,1-ethanediyl)]bis[N-ethyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-, ammonium salt;30381-98-7;
N-Ethyl-N-perfluoroalkyl(C4-C8)sulfonyl-2-aminoethanol, 2,4-toluene diisocyanate adduct;68081-83-4;
1-Propanaminium, 3-[[(heptadecafluorooctyl)sulfonyl](3-sulfopropyl)amino]-N-(2-hydroxyethyl)-N,N-dimethyl-, hydroxide, inner salt;68298-11-3;
2-Propenoic acid, eicosyl ester, polymer with 2-[[(heptadecafluorooctyl)sulfonyl]methylamino]ethyl 2-propenoate, hexadecyl 2-propenoate, 2-[methyl[(nonafluorobutyl)sulfonyl]amino]ethyl 2-propenoate, 2-[methyl[(pentadecafluoroheptyl)sulfonyl]amino]ethyl 2-propenoate, 2-[methyl[(tridecafluorohexyl)sulfonyl]amino]ethyl 2-propenoate, 2-[methyl[(undecafluoropentyl)sulfonyl]amino]ethyl 2-propenoate and octadecyl 2-propenoate;68329-56-6;
Heptadecafluoro-N-(4-hydroxybutyl)-N-methyl-1-octanesulfonamide;68239-73-6;
2-Propenoic acid, 2-methyl-, octadecyl ester, polymer with 1,1-dichloroethene, 2-[[(heptadecafluorooctyl)sulfonyl]methylamino]ethyl 2-propenoate, N-(hydroxymethyl)-2-propenamide, 2-[methyl[(nonafluorobutyl)sulfonyl]amino]ethyl 2-propenoate, 2-[methyl[(pentadecafluoroheptyl)sulfonyl]amino]ethyl 2-propenoate, 2-[methyl[(tridecafluorohexyl)sulfonyl]amino]ethyl 2-propenoate and 2-[methyl[(undecafluoropentyl)sulfonyl]amino]ethyl 2-propenoate;70776-36-2;
N-Ethyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-N-(3-phosphonopropyl)-1-octanesulfonamide;71463-78-0;
N-Ethyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-N-(3-phosphonopropyl)-1-octanesulfonamide, diethyl ester;71463-80-4;
2-Propenoic acid, 2-methyl-, methyl ester, polymer with ethenylbenzene, 2-[[(heptadecafluorooctyl)sulfonyl]methylamino]ethyl 2-propenoate, 2-[methyl[(nonafluorobutyl)sulfonyl]amino]ethyl 2-propenoate, 2-[methyl[(pentadecafluoroheptyl)sulfonyl]amino]ethyl 2-propenoate, 2-[methyl[(tridecafluorohexyl)sulfonyl]amino]ethyl 2-propenoate, 2-[methyl(undecafluoropentyl)sulfonyl]amino]ethyl 2-propenoate and 2-propenoic acid;71487-20-2;
Sulfonamides, C4-8-alkane, perfluoro, N-ethyl-N-(hydroxyethyl)-, polymers with 1,1'-methylenebis[4-isocyanatobenzene] and polymethylenepolyphenylene isocyanate, 2-ethylhexyl esters, Me Et ketone oxime-blocked;178535-22-3;
1-Octanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-N-methyl-, reaction products with benzene-chloride-sulfur chloride (S2Cl2) reaction products chlorides;182700-90-9;
Sulfonamides, C4-8-alkane, perfluoro, N-[3-(dimethylamino)propyl], reaction products with acrylic acid;192662-29-6;
1-Decanaminium, N-decyl-N,N-dimethyl-, salt with 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-1-octanesulfonic acid (1:1);251099-16-8;
2-Propenoic acid, 2-methyl-, 3-(trimethoxysilyl)propyl ester, polymers with acrylic acid, 2-[methyl[(perfluoro-C4-8-alkyl)sulfonyl]amino]ethyl acrylate and propylene glycol monoacrylate, hydrolyzed, compds. with 2,2'-(methylimino)bis[ethanol];306977-58-2;
2-Propenoic acid, butyl ester, polymers with acrylamide, 2-[methyl[(perfluoro-C4-8-alkyl)sulfonyl]amino]ethyl acrylate and vinylidene chloride;306978-04-1;
Hexane, 1,6-diisocyanato-, homopolymer, N-(hydroxyethyl)-N-methyl perfluoro-C4-8-alkane sulfonamides- and stearyl alc.-blocked;306978-65-4;
Poly(oxy-1,2-ethanediyl), α-[2-(methylamino)ethyl]-ω-[(1,1,3,3-tetramethylbutyl)phenoxy]-, N-[(perfluoro-C4-8-alkyl)sulfonyl] derivs.;306979-40-8;
Heptadecafluorooctane-1-sulphonic acid;1763-23-1;
1,2,4,7,8-Pentachlorodibenzo-p-dioxin;58802-08-7;
Pentachlorodibenzofuran;30402-15-4;
1,2,3,4,6,7,8,9,10,10,11,11-Dodecachloro-1,4,4a,5a,6,9,9a,9b-octahydro-1,4:6,9-dimethanodibenzofuran;31107-44-5;
Heptachlorodibenzofuran;38998-75-3;
1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluoro-1-octanesulfonyl fluoride;307-35-7;
2-Propenoic acid, 2-methyl-, 2-[ethyl[(heptadecafluorooctyl)sulfonyl]amino]ethyl ester;376-14-7;
N-Ethyl-N-[(heptadecafluorooctyl)sulfonyl]glycine, sodium salt;3871-50-9;
N-Ethyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-1-octanesulfonamide;4151-50-2;
1-Octanesulfonamide, N-[3-(dimethylamino)propyl]-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-;13417-01-1;
2-Propenoic acid, 2-methyl-, 2-[[(heptadecafluorooctyl)sulfonyl]methylamino]ethyl ester;14650-24-9;
Tetraethylammonium perfluorooctanesulfonate;56773-42-3;
Benzoic acid, 2,3,4,5-tetrachloro-6-[[[3-[[(heptadecafluorooctyl)sulfonyl]oxy]phenyl]amino]carbonyl]-, monopotassium salt;57589-85-2;
2-Propenoic acid, 4-[[(heptadecafluorooctyl)sulfonyl]methylamino]butyl ester;58920-31-3;
2,3,7,8-Tetrachlorodibenzo[b,e][1,4]dioxin;1746-01-6;
1,2,3,7,8,9-Hexachloro-p-dioxin;19408-74-3;
Dibenzo[b,e][1,4]dioxin, 1,2,3,4,7,8-hexachloro-;39227-28-6;
Dibenzo[b,e][1,4]dioxin, tetrachloro-;41903-57-5;
1,2,3,4,6,7,9-Heptachlorodibenzo-p-dioxin;58200-70-7;
Dibenzofuran, octachloro-;39001-02-0;
Tetrachlorodibenzofuran;51207-31-9;
Chlorinated dibenzofurans;136677-10-6;
"A mixture of: 5-(N-methylperfluorooctylsulfonamido)methyl-3-octadecyl-1,3-oxazolidin-2-one; 5-(N-methylperfluoroheptylsulfonamido)methyl-3-octadecyl-1,3-oxazolidin-2-one";;
N-Butyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-N-(2-hydroxyethyl)-1-octanesulfonamide, acrylate (ester);383-07-3;
2-Methyl-2-propenoic acid, 4-[methyl[(heptadecafluorooctyl)sulfonyl]amino]butyl ester;61577-14-8;
2-Propenoic acid, 2-methyl-, 2-[[(heptadecafluorooctyl)sulfonyl]methylamino]ethyl ester, polymer with 2-[methyl[(nonafluorobutyl)sulfonyl]amino]ethyl 2-methyl-2-propenoate, 2-[methyl[(pentadecafluoroheptyl)sulfonyl]amino]ethyl 2-methyl-2-propenoate, 2-[methyl[(tridecafluorohexyl)sulfonyl]amino]ethyl 2-methyl-2-propenoate, 2-[methyl[(undecafluoropentyl)sulfonyl]amino]ethyl 2-methyl-2-propenoate and octadecyl 2-methyl-2-propenoate;68555-92-0;
Sulfonamides, C4-8-alkane, perfluoro, N-ethyl-N-(hydroxyethyl), reaction products with 1,1'-methylenebis[4-isocyanatobenzene];68608-14-0;
N-Ethyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-N-(2-hydroxyethyl)-1-octanesulfonamide, reaction products with N-ethyl-1,1,2,2,3,3,4,4,4-nonafluoro-N-(2-hydroxyethyl)-1-butanesulfonamide, N-ethyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoro-N-(2-hydroxyethyl)-1-heptanesulfonamide, N-ethyl-1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-N-(2-hydroxyethyl)-1-hexanesulfonamide, N-ethyl-1,1,2,2,3,3,4,4,5,5,5-undecafluoro-N-(2-hydroxyethyl)-1-pentanesulfonamide, octadecan-1-ol and polymethylenepolyphenylene polyisocyanate;68649-26-3;
1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluoro-N-2-propenyl-1-octanesulfonamide;423-86-9;
1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluoro-1-octanesulfonic acid, potassium salt;2795-39-3;
Glycine, N-ethyl-N-[(heptadecafluorooctyl)sulfonyl]-, potassium salt;2991-51-7;
N-Allyl-N-ethyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctanesulfonamide;24924-36-5;
Perfluorooctanesulfonic acid, ammonium salt;29081-56-9;
2-Propenoic acid, 2-(((heptadecafluorooctyl)sulfonyl)methylamino)ethyl ester, polymer with 2-(methyl((nonafluorobutyl)sulfonyl)amino)ethyl 2-propenoate, 2-(methyl((pentadecafluoroheptyl)sulfonyl)amino)ethyl 2-propenoate, 2-(methyl((tridecafluorohexyl)sulfonyl)amino)ethyl 2-propenoate, 2-(methyl((undecafluoropentyl)sulfonyl)amino)ethyl 2-propenoate and α-(1-oxo-2-propenyl)-ω-methoxypoly(oxy-1,2-ethanediyl);68867-60-7;
Carbamic acid, [5-[[[2-[[(heptadecafluorooctyl)sulfonyl]methylamino]ethoxy]carbonyl]amino]-2-methylphenyl]-, 9-octadecenyl ester, (Z)-;94313-84-5;
Sulfonamides, C7-8-alkane, perfluoro, N-methyl-N-[2-[(1-oxo-2-propenyl)oxy]ethyl], polymers with 2-ethoxyethyl acrylate, glycidyl methacrylate and N,N,N-trimethyl-2-[(2-methyl-1-oxo-2-propenyl)oxy]ethanaminium chloride;98999-57-6;
2-Propenoic acid, 2-methyl-, polymers with Bu methacrylate, lauryl methacrylate and 2-[methyl[perfluoro-C4-8-alkyl)sulfonyl]amino]ethyl methacrylate;127133-66-8;
Heptadecafluoro-N-methyl-1-octanesulfonamide;31506-32-8;
1-Octanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-N-(phenylmethyl)-;50598-29-3;
1-Oktansulfonamid, N-etyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadekafluor-N-[3-(trimetoxisilyl)propyl]-;61660-12-6;
1-Octanesulfonamide, N-ethyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-N-[2-(phosphonooxy)ethyl]-, diammonium salt;67969-69-1;
2-Propenoic acid, polymer with 2-[ethyl[(heptadecafluorooctyl)sulfonyl]amino]ethyl 2-methyl-2-propenoate and octadecyl 2-propenoate;68541-80-0;
2-Propenoic acid, 2-methyl-, 2-[ethyl[(heptadecafluorooctyl)sulfonyl]amino]ethyl ester, polymer with 2-[ethyl[(nonafluorobutyl)sulfonyl]amino]ethyl 2-methyl-2-propenoate, 2-[ethyl[(pentadecafluoroheptyl)sulfonyl]amino]ethyl 2-methyl-2-propenoate, 2-[ethyl[(tridecafluorohexyl)sulfonyl]amino]ethyl 2-methyl-2-propenoate, 2-[ethyl[(undecafluoropentyl)sulfonyl]amino]ethyl 2-methyl-2-propenoate and octadecyl 2-methyl-2-propenoate;68555-91-9;
2-Propenoic acid, 2-methyl-, 2-[ethyl[(heptadecafluorooctyl)sulfonyl]amino]ethyl ester, polymer with 2-[ethyl[(nonafluorobutyl)sulfonyl]amino]ethyl 2-methyl-2-propenoate, 2-[ethyl[(pentadecafluoroheptyl)sulfonyl]amino]ethyl 2-methyl-2-propenoate, 2-[ethyl[(tridecafluorohexyl)sulfonyl]amino]ethyl 2-methyl-2-propenoate, 2-[ethyl[(undecafluoropentyl)sulfonyl]amino]ethyl 2-methyl-2-propenoate and 2-methyl-1,3-butadiene;68877-32-7;
2-Propenoic acid, eicosyl ester, polymers with branched octyl acrylate, 2-[[(heptadecafluorooctyl)sulfonyl]methylamino]ethyl acrylate, 2-[methyl[(nonafluorobutyl)sulfonyl]amino]ethyl acrylate, 2-[methyl[(pentadecafluoroheptyl)sulfonyl]amino]ethyl acrylate, 2-[methyl[(tridecafluorohexyl)sulfonyl]amino]ethyl acrylate, 2-[methyl[undecafluoropentyl)sulfonyl]amino]ethyl acrylate, polyethylene glycol acrylate Me ether and stearyl acrylate;68909-15-9;
Heptadecafluoro-1-octanesulfonic acid, compd. with diethanolamine;70225-14-8;
Sulfonamides, C4-8-alkane, perfluoro, N-(hydroxyethyl)-N-methyl, reaction products with epichlorohydrin, adipates (esters);91081-99-1;
1-Propanesulfonic acid, 3-[[3-(dimethylamino)propyl][(heptadecafluorooctyl)sulfonyl]amino]-2-hydroxy-, monosodium salt;94133-90-1;
Sulfonamides, C4-8-alkane, perfluoro, N-(hydroxyethyl)-N-methyl, reaction products with 1,6-diisocyanatohexane homopolymer and ethylene glycol;148684-79-1;
1-Octanesulfonamide, N-[3-(dimethyloxidoamino)propyl]-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-, potassium salt;178094-69-4;
Fatty acids, linseed-oil, dimers, 2-[[(heptadecafluorooctyl)sulfonyl]methylamino]ethyl esters;306973-46-6;
Sulfonamides, C4-8-alkane, perfluoro, N-methyl-N-[(3-octadecyl-2-oxo-5-oxazolidinyl)methyl];306974-19-6;
Sulfonamides, C4-8-alkane, perfluoro, N-methyl-N-(oxiranylmethyl);129813-71-4;
Fatty acids, C18-unsatd., dimers, 2-[methyl[(perfluoro-C4-8-alkyl)sulfonyl]amino]ethyl esters;306974-63-0;
Propanoic acid, 3-hydroxy-2-(hydroxymethyl)-2-methyl-, polymer with 2-ethyl-2-(hydroxymethyl)-1,3-propanediol and N,N',2-tris(6-isocyanatohexyl)imidodicarbonic diamide, reaction products with N-ethyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-heptadecafluoro-N-(2-hydroxyethyl)-1-octanesulfonamide and N-ethyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoro-N-(2-hydroxyethyl)-1-heptanesulfonamide, compds. with triethylamine;306975-56-4;
Propanoic acid, 3-hydroxy-2-(hydroxymethyl)-2-methyl-, polymer with 1,1'-methylenebis[4-isocyanatobenzene] and 1,2,3-propanetriol, reaction products with N-ethyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-N-(2-hydroxyethyl)-1-octanesulfonamide and N-ethyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoro-N-(2-hydroxyethyl)-1-heptanesulfonamide, compds. with morpholine;306975-57-5;
Sulfonic acids, C6-8-alkane, perfluoro, compds. with polyethylene-polypropylene glycol bis(2-aminopropyl) ether;306974-45-8;
Poly(oxy-1,2-ethanediyl), α-hydro-ω-hydroxy-, polymer with 1,6-diisocyanatohexane, N-(2-hydroxyethyl)-N-methyl perfluoro C4-8-alkane sulfonamides-blocked;306975-84-8;
1-Hexadecanaminium, N,N-dimethyl-N-[2-[(2-methyl-1-oxo-2-propenyl)oxy]ethyl], bromide, polymers with Bu acrylate, Bu methacrylate and 2-[methyl[(perfluoro-C4-8-alkyl)sulfonyl]amino]ethyl acrylate;306976-25-0;
β-Hexabromocyclododecane;134237-51-7;
γ-Hexabromocyclododecane;134237-52-8;
Tetrabromodiphenyl ether;5436-43-1;
Pentabromodiphenyl ether;60348-60-9;
Ammonium pentadecafluorooctanoate;3825-26-1;
Pentadecafluorooctanoic acid;335-67-1;
1-Hexanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-, compd. With 2,2'-iminobis[ethanol] (1:1);70225-16-0;
Sulfonamides, C4-8-alkane, perfluoro, N,N'-[1,6-hexanediylbis[(2-oxo-3,5-oxazolidinediyl)methylene]]bis[N-methyl-;306980-27-8;
α-Hexabromocyclododecane;134237-50-6;
Hexabromodiphenyl ether;36483-60-0;
Nonabromodiphenyl ether;63936-56-1;
2,2′,3,4,4′,5′,6-Heptabromodiphenyl ether;207122-16-5;
2-(2H-Benzotriazol-2-yl)-4,6-bis(2-methylbutan-2-yl)phenol;25973-55-1;
β-Endosulfan;33213-65-9;
Propanamide, 3-[(γ-ω-perfluoro-C4-10-alkyl)thio] derivs.;68187-42-8;
1-Hexanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-N,N-dimethyl-;1270179-82-2;
1-Hexanesulfonamide, N,N-diethyl-1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-;1270179-93-5;
Perfluoro-6-(trifluoromethyl)heptanoic acid;15166-06-0;
Sodium perfluorooctanoate;335-95-5;
Fatty acids, C7-13, perfluoro, compds. with ethylamine;69278-80-4;
Fatty acids, C6-18, perfluoro, ammonium salts;72623-77-9;
Carboxylic acids, C7-13, perfluoro, ammonium salts;72968-38-8;
Fatty acids, C7-19, perfluoro;91032-01-8;
Poly(oxy-1,2-ethanediyl), .alpha.-[2-[(2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluoro-1-oxooctyl)amino]ethyl]-.omega.-hydroxy-;93480-00-3;
Hexanoic acid, 2,2,3,3,5,5,6,6,6-nonafluoro-4,4-bis(trifluoromethyl)-;1192593-79-5;
Hexanoic acid, 2,3,3,4,4,5,5,6,6,6-decafluoro-2-(1,1,2,2,2-pentafluoroethyl)-, sodium salt (1:1);1195164-59-0;
Isooctanoic acid, pentadecafluoro- (9CI);123116-17-6;
Butanoic acid, 2,3,4,4,4-pentafluoro-2-[1,2,2,2-tetrafluoro-1-(trifluoromethyl)ethyl]-3-(trifluoromethyl)-;1882109-61-6;
Butanoic acid, 4,4,4-trifluoro-2,2,3,3-tetrakis(trifluoromethyl)-;1882109-62-7;
Pentanoic acid, 3,3,4,4,5,5,5-heptafluoro-2-(1,1,2,2,2-pentafluoroethyl)-2-(trifluoromethyl)-;1882109-63-8;
Pentanoic acid, 2,3,4,4,5,5,5-heptafluoro-2-(1,1,2,2,2-pentafluoroethyl)-3-(trifluoromethyl)-;1882109-64-9;
Pentanoic acid, 2,2,3,5,5,5-hexafluoro-3,4,4-tris(trifluoromethyl)-;1882109-75-2;
Pentanoic acid, 2,3,3,4,4,5,5,5-octafluoro-2-[1,2,2,2-tetrafluoro-1-(trifluoromethyl)ethyl]-;1882109-76-3;
Pentanoic acid, 2,3,3,4,4,5,5,5-octafluoro-2-(1,1,2,2,3,3,3-heptafluoropropyl)-;1882109-77-4;
Hexanoic acid, 2,2,3,4,4,5,5,6,6,6-decafluoro-3-(1,1,2,2,2-pentafluoroethyl)-;1882109-78-5;
1-Propanaminium, N,N,N-trimethyl-3-[(2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluoro-1-oxooctyl)amino]-, iodide (1:1);335-90-0;
Hexanoic acid, 2,3,3,4,4,5,5,6,6,6-decafluoro-2-(1,1,2,2,2-pentafluoroethyl)-;35605-76-6;
Octane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-heptadecafluoro-8-iodo-;507-63-1;
Dodecane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-heptadecafluoro-;182130-12-7;
Palladium, dichlorobis[tris[4-(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)phenyl]phosphine-βP]-;326475-46-1;
1-Decanol, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluoro-, 1-(hydrogen sulfate), ammonium salt (1:1);63225-57-0;
Glycine, N-[3-[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)thio]-2-hydroxypropyl]-N-methyl-;93128-66-6;
Heptabromodiphenyl ether;68928-80-3;
2,2′,4,4′,5,5′-Hexabromodiphenyl ether;68631-49-2;
α-Endosulfan;959-98-8;
1-Hexanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-N,N-bis(2-methoxyethyl)-;1427176-20-2;
Pyridinium, 1-[[(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexyl)sulfonyl]amino]-, inner salt;254889-10-6;
3,4-Bis((perfluoro-1-oxooctyl)amino)benzenesulfonyl chloride;24216-05-5;
